Equipment_ID,Plant_ID,Equipment_Type,Average_Performance_Ratio,Average_Inverter_Efficiency,Average_Capacity_Factor,Fault_Count,Performance_Score,Risk_Level
EQ-00366,14,Inverter,0.825,0.95,0.116,8,55.67,Watchlist
EQ-00367,14,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00368,14,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00369,14,Inverter,0.825,0.95,0.116,3,58.21,Watchlist
EQ-00370,14,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00371,14,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00372,14,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00373,14,Inverter,0.825,0.95,0.115,6,56.69,Watchlist
EQ-00374,14,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00375,14,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00376,14,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00377,14,Transformer,0.799,0.915,0.318,7,58.26,Watchlist
EQ-00378,14,Transformer,0.747,0.952,0.304,5,58.28,Watchlist
EQ-00379,15,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00380,15,Inverter,0.825,0.95,0.115,7,56.18,Watchlist
EQ-00381,15,Inverter,0.825,0.95,0.116,5,57.18,Watchlist
EQ-00382,15,Inverter,0.825,0.95,0.116,4,57.71,Watchlist
EQ-00383,15,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00384,15,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00385,15,Inverter,0.825,0.95,0.117,8,55.7,Watchlist
EQ-00386,15,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00387,15,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00388,15,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00389,15,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00390,15,Inverter,0.825,0.95,0.117,10,54.71,Critical
EQ-00391,15,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00392,15,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00393,15,Inverter,0.825,0.95,0.117,5,57.21,Watchlist
EQ-00394,15,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00395,15,Inverter,0.826,0.95,0.116,2,58.71,Watchlist
EQ-00396,15,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00397,15,Inverter,0.825,0.95,0.116,2,58.72,Watchlist
EQ-00398,15,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00399,15,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00400,15,Inverter,0.824,0.95,0.116,8,55.67,Watchlist
EQ-00401,15,Inverter,0.825,0.95,0.116,2,58.69,Watchlist
EQ-00402,15,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00403,15,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00404,15,Transformer,0.728,0.963,0.29,3,58.68,Watchlist
EQ-00405,15,Transformer,0.742,0.955,0.298,6,57.57,Watchlist
EQ-00406,16,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00407,16,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00408,16,Inverter,0.825,0.95,0.116,9,55.19,Watchlist
EQ-00409,16,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00410,16,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00411,16,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00412,16,Inverter,0.825,0.95,0.116,10,54.71,Critical
EQ-00413,16,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00414,16,Inverter,0.825,0.95,0.116,9,55.21,Watchlist
EQ-00415,16,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00416,16,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00417,16,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00418,16,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00419,16,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00420,16,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00421,16,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00422,16,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00423,16,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00424,16,Inverter,0.825,0.95,0.116,7,56.18,Watchlist
EQ-00425,16,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00426,16,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00427,16,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00428,16,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00429,16,Inverter,0.825,0.95,0.115,3,58.17,Watchlist
EQ-00430,16,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00431,16,Transformer,0.858,0.926,0.234,6,59.5,Watchlist
EQ-00432,16,Transformer,0.748,0.929,0.163,3,55.8,Watchlist
EQ-00433,17,Inverter,0.825,0.95,0.116,5,57.22,Watchlist
EQ-00434,17,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00435,17,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00436,17,Inverter,0.825,0.95,0.116,6,56.71,Watchlist
EQ-00437,17,Inverter,0.826,0.95,0.116,5,57.22,Watchlist
EQ-00438,17,Inverter,0.825,0.95,0.116,8,55.69,Watchlist
EQ-00439,17,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00440,17,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00441,17,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00442,17,Inverter,0.824,0.95,0.116,6,56.67,Watchlist
EQ-00443,17,Inverter,0.825,0.95,0.116,6,56.69,Watchlist
EQ-00444,17,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00445,17,Inverter,0.825,0.95,0.116,2,58.68,Watchlist
EQ-00446,17,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00447,17,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00448,17,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00449,17,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00450,17,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00451,17,Inverter,0.825,0.95,0.116,9,55.18,Watchlist
EQ-00452,17,Inverter,0.825,0.95,0.116,4,57.68,Watchlist
EQ-00453,17,Inverter,0.826,0.95,0.117,5,57.23,Watchlist
EQ-00454,17,Inverter,0.825,0.95,0.115,5,57.18,Watchlist
EQ-00455,17,Inverter,0.825,0.95,0.115,5,57.19,Watchlist
EQ-00456,17,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00457,17,Inverter,0.825,0.95,0.115,7,56.19,Watchlist
EQ-00458,17,Transformer,0.791,0.921,0.198,5,56.8,Watchlist
EQ-00459,17,Transformer,0.879,0.908,0.345,6,61.93,Watchlist
EQ-00460,18,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00461,18,Inverter,0.825,0.95,0.116,8,55.7,Watchlist
EQ-00462,18,Inverter,0.825,0.95,0.116,8,55.71,Watchlist
EQ-00463,18,Inverter,0.825,0.95,0.116,8,55.71,Watchlist
EQ-00464,18,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00465,18,Inverter,0.825,0.95,0.116,9,55.18,Watchlist
EQ-00466,18,Inverter,0.825,0.95,0.116,3,58.18,Watchlist
EQ-00467,18,Inverter,0.825,0.95,0.115,9,55.18,Watchlist
EQ-00468,18,Inverter,0.825,0.95,0.116,2,58.71,Watchlist
EQ-00469,18,Inverter,0.825,0.95,0.116,1,59.19,Watchlist
EQ-00470,18,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00471,18,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00472,18,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00473,18,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00474,18,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00475,18,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00476,18,Inverter,0.825,0.95,0.116,7,56.2,Watchlist
EQ-00477,18,Inverter,0.825,0.95,0.117,5,57.21,Watchlist
EQ-00478,18,Inverter,0.825,0.95,0.116,3,58.2,Watchlist
EQ-00479,18,Inverter,0.825,0.95,0.116,7,56.21,Watchlist
EQ-00480,18,Inverter,0.825,0.95,0.115,5,57.17,Watchlist
EQ-00481,18,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00482,18,Inverter,0.824,0.95,0.116,7,56.18,Watchlist
EQ-00483,18,Inverter,0.825,0.95,0.116,5,57.21,Watchlist
EQ-00484,18,Inverter,0.825,0.95,0.115,6,56.66,Watchlist
EQ-00485,18,Transformer,0.896,0.963,0.202,6,61.31,Watchlist
EQ-00486,18,Transformer,0.909,0.909,0.238,5,61.37,Watchlist
EQ-00487,19,Inverter,0.825,0.95,0.117,5,57.22,Watchlist
EQ-00488,19,Inverter,0.825,0.95,0.117,8,55.71,Watchlist
EQ-00489,19,Inverter,0.825,0.95,0.115,6,56.68,Watchlist
EQ-00490,19,Inverter,0.825,0.95,0.116,12,53.7,Critical
EQ-00491,19,Inverter,0.825,0.95,0.116,4,57.67,Watchlist
EQ-00492,19,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00493,19,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00494,19,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00495,19,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00496,19,Inverter,0.825,0.95,0.115,6,56.67,Watchlist
EQ-00497,19,Inverter,0.825,0.95,0.116,6,56.7,Watchlist
EQ-00498,19,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00499,19,Inverter,0.825,0.95,0.116,2,58.7,Watchlist
EQ-00500,19,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00501,19,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00502,19,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00503,19,Inverter,0.825,0.95,0.116,1,59.18,Watchlist
EQ-00504,19,Inverter,0.825,0.95,0.117,7,56.2,Watchlist
EQ-00505,19,Inverter,0.825,0.95,0.116,9,55.18,Watchlist
EQ-00506,19,Inverter,0.825,0.95,0.117,7,56.22,Watchlist
EQ-00507,19,Inverter,0.825,0.95,0.117,5,57.22,Watchlist
EQ-00508,19,Inverter,0.825,0.95,0.116,4,57.69,Watchlist
EQ-00509,19,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00510,19,Inverter,0.825,0.95,0.115,8,55.67,Watchlist
EQ-00511,19,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00512,19,Transformer,0.845,0.977,0.175,3,60.9,Watchlist
EQ-00513,19,Transformer,0.769,0.929,0.18,3,56.89,Watchlist
EQ-00514,20,Inverter,0.825,0.95,0.116,14,52.68,Critical
EQ-00515,20,Inverter,0.825,0.95,0.117,7,56.2,Watchlist
EQ-00516,20,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00517,20,Inverter,0.825,0.95,0.117,4,57.71,Watchlist
EQ-00518,20,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00519,20,Inverter,0.825,0.95,0.116,9,55.2,Watchlist
EQ-00520,20,Inverter,0.825,0.95,0.115,4,57.68,Watchlist
EQ-00521,20,Inverter,0.825,0.95,0.116,2,58.69,Watchlist
EQ-00522,20,Inverter,0.825,0.95,0.116,5,57.19,Watchlist
EQ-00523,20,Inverter,0.825,0.95,0.116,7,56.22,Watchlist
EQ-00524,20,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00525,20,Inverter,0.825,0.95,0.116,5,57.2,Watchlist
EQ-00526,20,Inverter,0.825,0.95,0.116,4,57.7,Watchlist
EQ-00527,20,Inverter,0.825,0.95,0.116,6,56.68,Watchlist
EQ-00528,20,Inverter,0.825,0.95,0.117,10,54.7,Critical
EQ-00529,20,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00530,20,Inverter,0.825,0.95,0.116,7,56.19,Watchlist
EQ-00531,20,Inverter,0.825,0.95,0.116,9,55.19,Watchlist
EQ-00532,20,Inverter,0.825,0.95,0.116,10,54.7,Critical
EQ-00533,20,Inverter,0.825,0.95,0.117,9,55.21,Watchlist
EQ-00534,20,Inverter,0.825,0.95,0.116,11,54.2,Critical
EQ-00535,20,Inverter,0.825,0.95,0.116,3,58.19,Watchlist
EQ-00536,20,Inverter,0.825,0.95,0.116,2,58.68,Watchlist
EQ-00537,20,Inverter,0.825,0.95,0.116,10,54.69,Critical
EQ-00538,20,Inverter,0.825,0.95,0.116,8,55.68,Watchlist
EQ-00539,20,Transformer,0.789,0.94,0.349,4,60.8,Watchlist
EQ-00540,20,Transformer,0.799,0.955,0.19,4,58.4,Watchlist
