Equipment_ID,Plant_ID,Equipment_Type,Manufacturer,Rated_Capacity_kW,Installation_Date,Status
EQ-00449,17,Inverter,Hitachi,150,2022-12-28,Active
EQ-00450,17,Inverter,GE,125,2022-10-06,Active
EQ-00451,17,Inverter,Hitachi,50,2023-03-30,Active
EQ-00452,17,Inverter,Schneider,50,2021-08-11,Active
EQ-00453,17,Inverter,ABB,125,2023-01-30,Active
EQ-00454,17,Inverter,GE,100,2021-01-31,Active
EQ-00455,17,Inverter,ABB,150,2022-04-01,Active
EQ-00456,17,Inverter,Schneider,50,2023-01-04,Active
EQ-00457,17,Inverter,Hitachi,150,2022-04-07,Active
EQ-00458,17,Transformer,Huawei,500,2022-01-05,Active
EQ-00459,17,Transformer,Siemens,1000,2022-05-16,Active
EQ-00460,18,Inverter,GE,75,2022-08-19,Active
EQ-00461,18,Inverter,ABB,150,2020-11-23,Active
EQ-00462,18,Inverter,GE,125,2021-09-20,Active
EQ-00463,18,Inverter,Huawei,125,2023-03-02,Active
EQ-00464,18,Inverter,Schneider,125,2022-02-21,Active
EQ-00465,18,Inverter,Hitachi,75,2020-12-29,Active
EQ-00466,18,Inverter,Schneider,150,2021-02-10,Active
EQ-00467,18,Inverter,Hitachi,150,2023-02-21,Active
EQ-00468,18,Inverter,Siemens,100,2020-02-20,Active
EQ-00469,18,Inverter,Schneider,150,2021-04-14,Active
EQ-00470,18,Inverter,GE,150,2022-08-21,Active
EQ-00471,18,Inverter,Siemens,100,2022-01-20,Active
EQ-00472,18,Inverter,Sungrow,125,2021-10-31,Active
EQ-00473,18,Inverter,Huawei,150,2021-10-05,Active
EQ-00474,18,Inverter,GE,100,2023-02-05,Active
EQ-00475,18,Inverter,Schneider,50,2021-03-20,Active
EQ-00476,18,Inverter,Siemens,125,2023-04-10,Active
EQ-00477,18,Inverter,Sungrow,100,2020-05-20,Active
EQ-00478,18,Inverter,GE,150,2021-12-26,Active
EQ-00479,18,Inverter,Sungrow,50,2020-01-10,Active
EQ-00480,18,Inverter,Huawei,150,2021-11-12,Active
EQ-00481,18,Inverter,Huawei,75,2022-05-08,Active
EQ-00482,18,Inverter,Sungrow,100,2022-12-19,Active
EQ-00483,18,Inverter,Huawei,75,2022-07-03,Active
EQ-00484,18,Inverter,Huawei,75,2021-08-03,Active
EQ-00485,18,Transformer,ABB,2000,2021-11-03,Active
EQ-00486,18,Transformer,Huawei,1000,2022-03-15,Active
EQ-00487,19,Inverter,Siemens,100,2021-10-11,Active
EQ-00488,19,Inverter,Schneider,150,2021-03-16,Active
EQ-00489,19,Inverter,Sungrow,100,2020-09-19,Active
EQ-00490,19,Inverter,ABB,75,2021-09-28,Active
EQ-00491,19,Inverter,Huawei,100,2022-09-25,Active
EQ-00492,19,Inverter,GE,100,2023-01-30,Active
EQ-00493,19,Inverter,Hitachi,150,2022-10-02,Active
EQ-00494,19,Inverter,Schneider,50,2020-03-13,Active
EQ-00495,19,Inverter,ABB,50,2022-09-25,Active
EQ-00496,19,Inverter,Huawei,125,2022-08-13,Active
EQ-00497,19,Inverter,ABB,150,2022-02-14,Active
EQ-00498,19,Inverter,Sungrow,100,2022-10-10,Active
EQ-00499,19,Inverter,Sungrow,100,2020-12-07,Active
EQ-00500,19,Inverter,Hitachi,125,2022-02-08,Active
EQ-00501,19,Inverter,ABB,75,2020-04-25,Active
EQ-00502,19,Inverter,Siemens,75,2021-03-28,Active
EQ-00503,19,Inverter,Hitachi,50,2020-11-06,Active
EQ-00504,19,Inverter,GE,50,2020-02-24,Active
EQ-00505,19,Inverter,Huawei,125,2022-09-06,Active
EQ-00506,19,Inverter,GE,150,2020-12-13,Active
EQ-00507,19,Inverter,GE,150,2020-12-29,Active
EQ-00508,19,Inverter,GE,150,2023-01-12,Active
EQ-00509,19,Inverter,Sungrow,50,2022-10-09,Active
EQ-00510,19,Inverter,GE,125,2022-01-07,Active
EQ-00511,19,Inverter,Siemens,50,2020-04-23,Active
EQ-00512,19,Transformer,Huawei,500,2022-02-08,Active
EQ-00513,19,Transformer,Huawei,500,2022-04-14,Active
EQ-00514,20,Inverter,Hitachi,75,2020-11-06,Active
EQ-00515,20,Inverter,GE,100,2020-05-22,Maintenance
EQ-00516,20,Inverter,Schneider,125,2021-05-04,Active
EQ-00517,20,Inverter,Huawei,75,2021-11-08,Active
EQ-00518,20,Inverter,ABB,75,2020-05-13,Active
EQ-00519,20,Inverter,Hitachi,125,2020-03-13,Active
EQ-00520,20,Inverter,ABB,75,2022-05-08,Active
EQ-00521,20,Inverter,Sungrow,125,2020-09-22,Active
EQ-00522,20,Inverter,Huawei,150,2022-04-01,Active
EQ-00523,20,Inverter,Hitachi,50,2023-02-07,Active
EQ-00524,20,Inverter,GE,150,2022-06-17,Active
EQ-00525,20,Inverter,GE,50,2023-02-14,Active
EQ-00526,20,Inverter,Schneider,75,2022-08-21,Active
EQ-00527,20,Inverter,Siemens,150,2022-11-01,Active
EQ-00528,20,Inverter,Siemens,150,2021-06-26,Active
EQ-00529,20,Inverter,Sungrow,150,2021-03-22,Active
EQ-00530,20,Inverter,Schneider,100,2020-09-10,Active
EQ-00531,20,Inverter,Hitachi,100,2020-10-13,Active
EQ-00532,20,Inverter,ABB,75,2022-02-16,Active
EQ-00533,20,Inverter,GE,100,2021-11-20,Active
EQ-00534,20,Inverter,Hitachi,50,2022-09-09,Active
EQ-00535,20,Inverter,ABB,150,2023-03-25,Active
EQ-00536,20,Inverter,ABB,125,2021-08-31,Active
EQ-00537,20,Inverter,Hitachi,50,2020-04-10,Active
EQ-00538,20,Inverter,Siemens,150,2022-03-30,Active
EQ-00539,20,Transformer,GE,1500,2022-12-22,Active
EQ-00540,20,Transformer,Hitachi,1000,2022-02-06,Active
